id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,y
18139,61.0,0,1,0,0,882.0,1,0,0,30,4,113.0,5.0,259.0,7,0,0
8538,37.0,4,1,1,0,0.0,0,0,0,12,1,126.0,2.0,,0,3,0
16899,31.0,0,1,1,0,93.0,1,0,0,18,8,145.0,2.0,364.0,1,2,0
22421,20.0,3,2,1,0,649.0,1,0,0,14,8,131.0,1.0,367.0,4,0,0
26750,54.0,4,1,2,0,1459.0,0,0,0,2,10,195.0,2.0,94.0,1,2,1
7751,36.0,0,1,1,0,-327.0,1,0,0,29,5,117.0,8.0,,0,3,0
4981,64.0,5,1,0,0,50.0,0,0,0,9,11,162.0,3.0,92.0,1,2,1
2657,30.0,6,1,1,0,580.0,1,0,0,13,10,834.0,1.0,152.0,6,0,0
3547,32.0,6,0,1,0,96.0,1,0,0,17,6,83.0,10.0,,0,3,0
13808,32.0,4,1,2,0,85.0,0,0,0,14,8,82.0,6.0,,0,3,0
9472,34.0,1,1,1,0,365.0,1,1,0,20,0,44.0,2.0,,0,3,0
25325,48.0,2,1,2,0,358.0,1,0,0,27,8,94.0,5.0,,0,3,0
19965,29.0,4,2,2,0,50.0,0,1,0,31,5,17.0,17.0,,0,3,0
2828,45.0,9,1,1,0,1672.0,0,0,0,23,10,79.0,1.0,,0,3,0
6073,29.0,1,1,0,0,-334.0,0,0,0,10,5,136.0,6.0,,0,3,0
24609,42.0,0,2,1,0,-495.0,1,1,0,23,8,131.0,1.0,,0,3,0
27326,32.0,4,1,1,0,4136.0,1,0,0,12,8,94.0,4.0,,0,3,0
13722,49.0,1,1,1,0,74.0,1,0,0,11,8,182.0,1.0,370.0,1,0,0
18399,30.0,0,2,1,0,390.0,1,0,0,8,8,67.0,1.0,,0,3,0
21246,61.0,9,0,1,0,2738.0,0,0,0,3,3,210.0,2.0,,0,3,0
374,40.0,1,2,0,0,3380.0,1,0,1,20,9,46.0,1.0,,0,3,0
25766,32.0,9,0,1,0,-5.0,0,0,0,29,4,131.0,2.0,164.0,4,1,0
214,30.0,4,2,2,0,39.0,1,0,0,15,8,900.0,3.0,352.0,2,1,1
28022,27.0,2,2,2,0,218.0,1,0,0,18,8,67.0,2.0,356.0,1,0,0
24680,41.0,4,1,1,0,,1,0,0,13,8,76.0,1.0,,0,3,0
26603,41.0,9,2,2,0,-93.0,1,0,0,3,3,186.0,4.0,251.0,4,0,0
29957,28.0,1,1,1,0,1783.0,1,0,0,5,6,78.0,2.0,,0,3,0
19761,31.0,4,1,2,0,184.0,0,0,0,5,3,131.0,1.0,,0,3,0
29493,47.0,4,1,2,0,4113.0,0,0,0,18,1,128.0,13.0,,0,3,0
14604,37.0,4,1,2,0,88.0,1,0,0,19,8,149.0,10.0,,0,3,0
27583,50.0,3,1,0,0,5141.0,0,0,0,9,6,182.0,1.0,,0,3,0
589,38.0,4,1,2,0,52.0,0,0,0,30,8,120.0,3.0,,0,3,0
9656,45.0,9,2,2,0,3428.0,1,0,0,25,5,72.0,30.0,,0,3,0
23199,55.0,1,1,1,0,70.0,1,0,0,5,8,618.0,2.0,,0,3,0
14194,39.0,1,2,1,0,164.0,1,0,0,20,0,209.0,1.0,346.0,1,0,0
28696,35.0,7,1,1,0,0.0,1,0,0,12,6,110.0,4.0,318.0,6,0,0
6870,34.0,0,2,1,0,1069.0,0,0,0,20,9,264.0,2.0,,0,3,0
24508,31.0,0,2,2,0,699.0,1,0,0,18,8,74.0,2.0,,0,3,0
7158,55.0,1,1,0,0,10.0,0,0,1,19,10,258.0,2.0,,0,3,0
26079,49.0,9,1,1,0,174.0,1,1,0,8,5,193.0,1.0,,0,3,0
12821,40.0,7,1,1,0,0.0,1,0,0,31,5,25.0,20.0,,0,3,0
18647,58.0,1,2,1,0,1187.0,1,0,0,5,3,28.0,2.0,,0,3,0
25821,39.0,4,1,2,0,46.0,0,1,0,22,1,139.0,1.0,,0,3,0
12686,40.0,5,0,0,0,5800.0,0,0,0,13,1,104.0,5.0,,0,3,0
14569,36.0,0,2,1,0,143.0,0,0,0,11,5,165.0,2.0,,0,3,0
27412,30.0,9,1,1,0,-1.0,0,0,0,8,8,,2.0,,0,3,0
20532,34.0,9,1,2,0,198.0,0,0,0,1,10,255.0,1.0,122.0,2,0,0
12291,51.0,4,1,2,0,1886.0,0,0,0,18,9,236.0,3.0,,0,3,0
948,26.0,9,2,1,0,249.0,0,0,0,29,4,716.0,2.0,,0,3,0
24636,30.0,7,1,1,0,412.0,1,0,0,7,8,214.0,1.0,,0,3,0
28146,56.0,4,0,2,0,155.0,0,0,0,13,1,312.0,2.0,,0,3,0
13345,55.0,4,2,2,0,1100.0,0,0,1,18,1,202.0,2.0,,0,3,0
29140,29.0,4,2,2,0,878.0,1,0,0,16,7,245.0,1.0,181.0,2,2,1
18245,38.0,4,1,2,0,729.0,0,0,0,26,1,165.0,13.0,,0,3,0
8017,56.0,4,1,2,0,4608.0,0,0,1,1,11,208.0,2.0,189.0,2,0,0
5327,44.0,9,1,2,0,-2.0,0,0,0,3,3,137.0,1.0,,0,3,0
9276,33.0,0,1,1,0,114.0,1,0,1,4,3,198.0,1.0,,0,3,0
12190,42.0,1,1,0,0,163.0,1,0,0,29,8,59.0,6.0,,0,3,0
8518,34.0,2,1,1,0,3115.0,1,0,0,20,9,506.0,1.0,183.0,4,0,0
19770,58.0,0,1,1,0,304.0,0,1,0,8,5,235.0,2.0,,0,3,0
30678,49.0,7,1,1,0,195.0,1,1,0,12,8,290.0,6.0,,0,3,0
16026,40.0,9,0,1,0,1335.0,1,1,0,29,4,566.0,2.0,246.0,1,0,0
4944,41.0,0,0,2,0,995.0,1,0,0,13,8,434.0,3.0,,0,3,0
11644,38.0,4,0,2,0,4569.0,1,1,0,16,5,99.0,1.0,,0,3,0
12009,32.0,7,2,1,0,292.0,1,0,0,12,8,259.0,2.0,,0,3,0
16399,37.0,4,2,2,0,2806.0,1,0,0,19,6,213.0,12.0,,0,3,0
2969,33.0,4,2,2,0,-2.0,0,0,0,19,1,167.0,4.0,,0,3,0
18959,41.0,4,1,2,0,104.0,1,0,0,6,8,1513.0,2.0,,0,3,0
29313,45.0,0,0,1,0,1112.0,1,0,0,15,8,425.0,1.0,,0,3,0
13577,38.0,9,1,1,0,196.0,1,0,0,8,8,366.0,2.0,,0,3,0
25634,46.0,1,1,1,0,388.0,0,0,0,6,6,354.0,4.0,,0,3,0
24114,32.0,4,1,2,0,0.0,0,0,0,22,1,206.0,4.0,,0,3,0
4398,27.0,6,1,2,0,1934.0,0,0,0,20,9,60.0,1.0,,0,3,0
13056,29.0,1,1,0,0,198.0,1,0,0,30,8,327.0,2.0,,0,3,0
4939,,1,1,0,0,1.0,0,0,0,9,6,169.0,1.0,,0,3,0
16377,45.0,1,1,0,0,681.0,1,0,0,15,8,384.0,4.0,,0,3,0
6125,48.0,7,2,1,0,518.0,1,0,0,13,8,358.0,1.0,363.0,1,0,0
7005,27.0,0,2,1,0,68.0,1,0,0,14,8,450.0,1.0,339.0,3,0,0
28383,60.0,10,1,2,0,2.0,1,0,0,9,5,255.0,1.0,,0,3,0
17269,53.0,0,1,1,0,214.0,0,0,1,17,9,116.0,2.0,,0,3,0
24473,41.0,7,1,1,0,-272.0,1,0,0,28,5,141.0,10.0,,0,3,0
29393,36.0,0,1,1,0,18.0,1,1,0,13,10,102.0,1.0,,0,3,0
16847,47.0,7,0,1,0,204.0,1,0,0,6,8,73.0,2.0,,0,3,0
23162,24.0,0,1,1,0,969.0,1,0,0,4,6,,1.0,,0,3,0
18758,62.0,0,1,1,0,,0,0,0,22,2,170.0,1.0,188.0,9,2,1
13109,35.0,6,1,1,0,29122.0,0,0,0,18,6,331.0,2.0,,0,3,0
27787,33.0,4,1,2,0,444.0,0,0,0,18,6,238.0,3.0,,0,3,1
7935,31.0,4,1,2,0,5879.0,0,0,0,23,10,450.0,1.0,430.0,2,0,1
1153,48.0,1,2,1,0,2609.0,1,0,0,14,8,418.0,2.0,,0,3,0
22397,55.0,2,1,2,0,1956.0,0,0,0,15,2,337.0,1.0,,0,3,1
1465,48.0,9,1,1,0,142.0,0,0,0,22,1,128.0,2.0,,0,3,0
12383,29.0,9,1,1,0,341.0,1,1,0,14,8,58.0,11.0,,0,3,0
19463,36.0,4,1,2,0,49.0,0,0,0,29,1,59.0,4.0,,0,3,0
966,36.0,4,1,2,0,2123.0,1,0,0,21,5,231.0,3.0,,0,3,0
19055,36.0,9,1,1,0,5116.0,1,0,0,30,8,41.0,4.0,,0,3,0
21209,44.0,0,1,1,0,-2.0,0,0,0,26,8,76.0,3.0,,0,3,0
29457,52.0,9,1,1,0,195.0,1,0,0,17,2,113.0,2.0,205.0,3,0,0
6557,43.0,10,2,0,0,213.0,0,0,0,5,6,573.0,3.0,,0,3,1
15119,53.0,7,0,0,0,2298.0,1,0,0,6,8,158.0,2.0,,0,3,0
4979,34.0,1,1,1,0,289.0,1,0,0,6,6,177.0,2.0,,0,3,0
5627,45.0,7,1,1,0,6909.0,0,0,0,12,6,779.0,,,0,3,0
25887,34.0,0,2,2,0,1535.0,1,0,0,15,8,45.0,1.0,352.0,5,0,0
19056,32.0,9,1,1,0,157.0,1,1,0,14,5,114.0,2.0,,0,3,0
9358,45.0,9,1,2,0,1798.0,0,0,0,28,4,367.0,2.0,,0,3,0
12901,31.0,7,2,1,0,1.0,0,0,0,29,4,95.0,1.0,,0,3,0
23270,29.0,1,1,0,0,342.0,0,0,1,20,9,12.0,1.0,,0,3,0
26708,35.0,1,2,1,0,7124.0,0,0,0,20,6,22.0,17.0,,0,3,0
9052,44.0,7,1,1,0,6348.0,1,0,0,11,8,44.0,1.0,,0,3,0
6055,47.0,0,1,1,0,14442.0,1,0,0,21,9,76.0,1.0,,0,3,0
7060,47.0,1,1,1,0,3111.0,0,0,0,6,1,187.0,2.0,,0,3,0
12599,44.0,2,1,1,0,1.0,0,0,0,5,6,1444.0,1.0,,0,3,1
17111,31.0,9,2,1,0,141.0,0,0,0,20,9,312.0,4.0,,0,3,0
21649,,0,2,1,0,16.0,1,0,0,18,9,1961.0,1.0,,0,3,1
14859,35.0,7,2,1,0,774.0,1,0,0,3,3,227.0,2.0,259.0,1,0,0
30786,33.0,1,1,1,0,1789.0,1,0,0,16,0,371.0,2.0,,0,3,0
4452,37.0,9,1,2,0,-361.0,0,0,0,26,1,98.0,2.0,,0,3,0
11577,39.0,4,2,2,0,102.0,1,0,0,8,8,342.0,1.0,,0,3,0
22144,29.0,1,0,1,0,247.0,1,1,0,7,8,137.0,2.0,,0,3,0
11260,38.0,4,1,1,0,1958.0,0,0,0,4,8,119.0,6.0,168.0,11,1,0
15458,31.0,1,0,1,0,876.0,1,1,0,29,4,265.0,3.0,239.0,1,0,0
29006,31.0,1,1,1,0,76.0,1,1,0,22,5,282.0,1.0,,0,3,0
14618,49.0,0,1,1,0,208.0,0,0,0,17,8,10.0,1.0,,0,3,0
27804,21.0,8,2,1,0,4127.0,0,0,0,5,0,916.0,4.0,185.0,7,0,1
24156,,4,0,2,0,6568.0,1,0,0,17,9,40.0,2.0,,0,3,0
28995,32.0,4,1,2,0,1331.0,0,0,0,3,3,199.0,2.0,90.0,1,2,1
24302,32.0,0,1,1,0,1161.0,1,0,0,20,0,40.0,2.0,,0,3,0
12302,56.0,0,1,1,0,0.0,1,0,0,17,9,206.0,1.0,186.0,2,0,0
21296,48.0,9,1,1,0,1941.0,1,1,0,6,1,175.0,2.0,,0,3,0
16458,46.0,6,1,1,0,1563.0,0,0,0,24,2,532.0,3.0,133.0,3,0,0
22172,39.0,7,1,1,0,200.0,0,0,0,30,4,224.0,2.0,,0,3,0
30527,46.0,4,1,2,0,509.0,0,0,0,23,0,226.0,2.0,,0,3,1
3886,45.0,4,1,2,0,0.0,0,0,0,16,6,93.0,2.0,,0,3,0
16340,45.0,4,0,2,0,542.0,1,0,0,14,8,67.0,1.0,363.0,2,1,0
21197,53.0,1,1,0,0,105.0,1,0,0,27,8,122.0,2.0,,0,3,0
3913,28.0,0,1,1,0,-362.0,1,1,0,3,6,102.0,1.0,,0,3,0
30310,37.0,9,1,1,0,6387.0,1,1,0,18,9,81.0,1.0,,0,3,0
27786,29.0,9,2,1,0,-5.0,1,0,0,6,8,192.0,1.0,,0,3,0
19347,35.0,1,1,0,0,3150.0,1,0,0,16,6,248.0,3.0,,0,3,0
7912,61.0,0,1,1,0,3739.0,0,0,0,22,11,178.0,1.0,184.0,11,2,1
16122,41.0,1,1,0,0,571.0,0,0,0,2,3,256.0,1.0,,0,3,0
29061,57.0,0,1,1,0,368.0,0,0,0,26,1,128.0,12.0,,0,3,0
7171,57.0,3,0,0,1,1234.0,0,0,0,5,6,1551.0,1.0,,0,3,1
8772,29.0,9,2,1,0,196.0,0,0,0,6,1,319.0,2.0,,0,3,0
6643,49.0,0,1,1,0,424.0,1,1,0,20,10,132.0,2.0,96.0,7,0,0
30109,40.0,4,2,1,0,110.0,1,0,1,27,1,23.0,9.0,,0,3,0
5581,61.0,5,1,1,0,602.0,1,0,0,7,8,38.0,1.0,,0,3,0
1871,26.0,4,1,2,0,122.0,1,0,0,18,8,705.0,2.0,,0,3,0
15730,30.0,9,2,1,0,2391.0,0,0,0,5,1,115.0,1.0,,0,3,0
14640,31.0,4,1,2,0,2732.0,1,1,0,23,8,49.0,1.0,,0,3,0
11681,40.0,7,1,1,0,434.0,1,0,0,15,8,426.0,6.0,175.0,3,1,0
29893,24.0,1,2,1,0,2355.0,0,1,0,27,8,113.0,1.0,,0,3,0
16970,33.0,4,2,2,0,111.0,1,0,0,15,5,78.0,2.0,,0,3,0
6027,32.0,4,2,2,0,3772.0,1,0,0,9,3,67.0,4.0,258.0,1,0,0
5871,59.0,9,1,1,0,134.0,1,0,1,16,9,436.0,13.0,96.0,1,1,0
11195,31.0,1,2,1,0,1033.0,1,1,0,16,0,335.0,2.0,321.0,2,0,0
21321,39.0,9,1,1,0,1629.0,1,0,0,19,8,215.0,3.0,,0,3,0
31133,53.0,7,1,1,0,529.0,1,0,0,29,5,124.0,2.0,,0,3,0
28028,31.0,4,2,2,0,37.0,0,0,0,19,1,174.0,2.0,,0,3,0
13998,57.0,6,0,1,0,152.0,0,0,0,17,6,830.0,3.0,,0,3,0
30262,30.0,1,2,1,0,2741.0,0,0,0,28,4,448.0,1.0,,0,3,0
11250,35.0,4,1,2,0,212.0,1,0,0,21,8,1294.0,1.0,,0,3,0
22676,35.0,1,1,1,0,2693.0,1,0,0,20,0,442.0,1.0,,0,3,0
25665,36.0,9,1,1,0,2200.0,0,0,1,12,0,368.0,1.0,,0,3,1
15645,47.0,2,1,1,0,7902.0,1,1,0,22,1,381.0,2.0,,0,3,0
709,35.0,1,1,1,0,177.0,1,0,0,15,8,373.0,2.0,,0,3,0
29371,47.0,4,1,2,0,267.0,1,0,0,15,5,92.0,2.0,,0,3,0
27948,29.0,4,1,2,0,2.0,1,0,0,23,8,205.0,1.0,,0,3,0
15617,47.0,4,1,1,0,-2.0,1,0,0,14,8,80.0,4.0,,0,3,0
30273,33.0,9,2,1,1,-483.0,1,0,0,17,0,1065.0,1.0,,0,3,1
22449,54.0,6,1,2,0,544.0,0,0,1,6,3,56.0,5.0,,0,3,0
2596,48.0,4,2,2,0,34.0,0,1,0,3,5,173.0,1.0,,0,3,0
19062,52.0,4,0,2,0,2910.0,1,0,0,30,8,94.0,1.0,,0,3,0
11261,26.0,4,1,2,0,245.0,1,0,0,31,7,354.0,2.0,257.0,1,1,0
12166,36.0,4,1,2,0,289.0,0,1,0,5,1,139.0,1.0,,0,3,0
150,31.0,2,1,2,0,280.0,1,0,1,20,0,37.0,5.0,349.0,2,0,0
1174,33.0,4,1,2,0,3297.0,1,0,0,17,6,471.0,2.0,227.0,4,0,1
26437,54.0,9,1,1,0,2312.0,1,0,0,8,8,283.0,3.0,364.0,2,0,0
22524,33.0,1,1,2,0,11.0,1,0,0,18,6,128.0,3.0,,0,3,0
2632,28.0,0,2,1,0,-136.0,0,0,0,18,5,106.0,1.0,,0,3,0
9118,52.0,1,1,0,0,1014.0,1,0,0,20,0,78.0,1.0,,0,3,0
16660,34.0,6,0,2,0,1356.0,1,0,0,14,8,1738.0,1.0,356.0,2,2,1
21750,,9,1,1,0,274.0,0,0,0,25,1,63.0,6.0,,0,3,0
20738,26.0,4,2,2,0,125.0,0,1,0,8,5,177.0,1.0,,0,3,0
2925,37.0,4,1,2,0,413.0,1,0,0,7,0,159.0,1.0,,0,3,0
22774,26.0,7,2,1,0,451.0,0,0,0,19,0,129.0,2.0,,0,3,1
20868,31.0,9,1,1,0,1094.0,1,0,0,2,6,108.0,3.0,,0,3,0
20606,51.0,4,1,2,0,915.0,1,0,0,9,8,246.0,4.0,,0,3,0
1821,28.0,4,1,2,0,476.0,1,0,0,21,9,68.0,5.0,,0,3,0
23529,29.0,1,2,1,0,901.0,1,1,0,21,8,209.0,7.0,,0,3,0
27551,41.0,9,0,1,0,2179.0,0,0,0,28,1,188.0,10.0,,0,3,0
8278,35.0,8,2,1,0,39.0,1,0,0,29,8,707.0,1.0,,0,3,0
26156,30.0,4,1,2,0,352.0,1,0,0,8,0,73.0,2.0,289.0,2,1,0
3413,23.0,8,2,1,0,1745.0,0,0,0,21,1,504.0,2.0,,0,3,0
26743,62.0,5,0,1,0,1096.0,0,0,0,11,5,756.0,2.0,,0,3,1
24367,44.0,0,1,1,0,-1093.0,1,1,0,31,5,149.0,4.0,,0,3,0
31245,45.0,10,1,1,0,1035.0,0,0,1,26,8,136.0,5.0,,0,3,0
10168,37.0,1,1,0,0,-1.0,0,0,0,20,6,612.0,4.0,,0,3,0
31403,36.0,9,2,1,0,25.0,1,0,0,18,8,75.0,2.0,333.0,2,0,0
4927,48.0,1,1,0,0,7096.0,0,0,0,6,1,1461.0,7.0,,0,3,1
14388,33.0,4,2,1,0,356.0,1,0,0,20,8,285.0,1.0,,0,3,0
31349,37.0,4,1,2,0,2374.0,1,1,0,20,5,183.0,2.0,215.0,6,1,0
26957,29.0,9,1,1,0,27.0,0,0,0,21,1,166.0,2.0,,0,3,0
18152,32.0,4,2,2,0,1717.0,1,0,0,21,8,288.0,2.0,,0,3,0
27328,32.0,1,1,1,0,-661.0,1,1,0,28,8,41.0,2.0,,0,3,0
2358,39.0,10,2,1,0,358.0,1,0,0,4,8,234.0,2.0,339.0,2,0,0
6396,27.0,0,1,1,0,-2.0,1,1,0,26,8,83.0,1.0,,0,3,0
16805,20.0,1,2,0,0,3201.0,1,0,0,15,8,,1.0,352.0,2,0,0
2540,32.0,7,1,1,0,1804.0,1,0,1,6,3,129.0,1.0,274.0,2,0,0
31167,29.0,7,2,1,0,1.0,1,0,0,18,8,127.0,6.0,363.0,9,0,0
17667,32.0,9,1,2,0,4658.0,1,1,0,15,5,149.0,2.0,,0,3,0
12761,42.0,4,2,2,0,265.0,1,0,0,31,5,83.0,5.0,,0,3,0
10260,39.0,7,1,2,0,-123.0,1,0,0,21,8,286.0,1.0,,0,3,0
237,61.0,5,1,2,0,-5.0,0,0,0,25,1,106.0,3.0,,0,3,0
25022,52.0,4,1,1,0,428.0,1,0,0,30,8,147.0,1.0,,0,3,0
20587,38.0,0,2,1,0,1061.0,1,0,0,28,8,78.0,4.0,,0,3,0
23610,33.0,9,2,1,0,-56.0,1,0,0,30,8,57.0,2.0,,0,3,0
13060,39.0,9,1,1,0,-3.0,1,1,0,21,9,97.0,1.0,,0,3,0
23477,50.0,5,0,0,0,662.0,1,0,0,15,8,3.0,5.0,,0,3,0
10944,41.0,1,0,1,0,536.0,0,0,0,16,8,157.0,2.0,,0,3,0
19971,42.0,4,1,2,0,979.0,0,0,0,19,1,158.0,1.0,,0,3,0
1860,44.0,1,1,1,0,7890.0,1,0,0,4,3,889.0,1.0,,0,3,1
10875,39.0,1,1,0,0,2521.0,1,0,0,15,8,258.0,4.0,,0,3,0
22456,42.0,4,1,1,0,108.0,0,0,0,17,6,667.0,2.0,,0,3,1
24650,51.0,2,1,0,0,3339.0,1,1,0,16,8,216.0,1.0,,0,3,0
18246,46.0,1,1,1,0,1094.0,1,1,0,6,3,178.0,2.0,,0,3,0
8497,60.0,4,0,2,0,5697.0,0,0,0,30,0,370.0,1.0,87.0,1,2,1
14156,32.0,1,1,1,0,717.0,1,0,0,8,8,25.0,1.0,,0,3,0
13823,60.0,7,1,1,0,293.0,0,1,0,22,5,245.0,4.0,,0,3,0
18407,41.0,7,2,1,0,2.0,0,0,0,20,6,209.0,2.0,,0,3,0
4343,44.0,10,1,1,0,189.0,0,0,0,11,1,692.0,2.0,,0,3,1
28795,78.0,5,1,1,0,8303.0,0,0,1,9,6,730.0,1.0,64.0,12,0,1
3533,42.0,1,1,0,0,1068.0,0,0,0,30,5,40.0,2.0,,0,3,0
13685,38.0,9,1,1,0,0.0,0,0,0,11,7,82.0,1.0,,0,3,0
26505,33.0,6,2,2,0,9958.0,0,0,0,20,1,460.0,1.0,,0,3,1
18260,34.0,1,1,1,0,3879.0,1,0,0,20,0,9.0,5.0,,0,3,0
16767,39.0,1,1,2,0,1988.0,1,0,0,20,0,114.0,2.0,,0,3,0
8352,54.0,5,0,1,0,-57.0,0,1,0,15,5,353.0,10.0,,0,3,0
13486,38.0,4,1,2,0,385.0,0,0,0,28,8,193.0,2.0,,0,3,0
429,45.0,1,1,0,0,296.0,1,0,0,29,1,969.0,4.0,,0,3,0
15736,53.0,0,1,1,0,-1601.0,0,1,0,13,8,100.0,2.0,,0,3,0
3163,50.0,4,1,2,0,5793.0,0,0,0,19,9,642.0,1.0,,0,3,0
11439,39.0,6,1,1,0,308.0,1,0,0,20,8,716.0,2.0,,0,3,0
26888,,7,1,1,0,54.0,1,0,1,13,8,20.0,9.0,,0,3,0
24498,61.0,5,1,1,0,3.0,0,0,1,31,5,566.0,20.0,,0,3,0
11511,39.0,7,0,1,0,5767.0,1,1,0,28,8,404.0,1.0,,0,3,0
21481,44.0,0,1,1,0,821.0,1,0,0,30,8,146.0,2.0,,0,3,0
11796,45.0,1,0,0,0,4.0,0,1,0,4,5,388.0,1.0,,0,3,0
15942,29.0,6,2,0,0,162.0,0,0,0,9,3,211.0,3.0,,0,3,0
24803,31.0,1,2,1,0,565.0,1,0,0,7,8,280.0,2.0,342.0,4,1,0
28598,64.0,1,1,1,0,2795.0,0,0,1,9,11,375.0,4.0,,0,3,0
28633,51.0,4,0,2,0,-808.0,1,0,0,7,1,135.0,3.0,,0,3,0
11088,30.0,0,1,1,0,410.0,1,0,0,20,0,83.0,3.0,341.0,2,0,0
30212,26.0,0,1,1,0,319.0,1,0,0,15,5,681.0,2.0,,0,3,0
25324,51.0,1,1,1,0,736.0,0,1,0,12,6,129.0,1.0,,0,3,0
6245,33.0,9,2,1,0,-414.0,1,0,0,28,8,102.0,1.0,,0,3,0
4006,56.0,1,1,0,0,-544.0,0,0,0,25,1,1170.0,6.0,,0,3,1
18456,49.0,10,1,0,0,129.0,1,0,0,19,9,172.0,2.0,,0,3,0
9689,,5,1,0,0,208.0,0,0,0,12,8,251.0,1.0,,0,3,0
109,52.0,2,1,2,0,12729.0,1,0,0,16,5,174.0,6.0,,0,3,0
9046,42.0,4,1,2,0,1045.0,1,0,0,12,6,92.0,1.0,,0,3,0
3030,71.0,5,0,2,0,264.0,0,0,0,12,1,1105.0,2.0,,0,3,0
19827,27.0,1,2,1,0,43.0,1,0,0,9,8,360.0,1.0,,0,3,0
18339,58.0,0,2,1,0,473.0,0,0,0,5,3,179.0,2.0,8.0,1,1,0
2029,55.0,4,2,2,0,1091.0,1,1,0,17,9,165.0,3.0,186.0,4,0,0
25363,39.0,1,0,1,0,194.0,0,0,0,15,8,141.0,1.0,,0,3,0
9517,34.0,4,1,1,0,249.0,0,0,0,25,1,288.0,6.0,,0,3,0
19130,45.0,1,1,1,0,1332.0,1,0,0,25,1,719.0,2.0,,0,3,0
3046,33.0,4,2,1,0,20599.0,0,0,0,20,9,133.0,1.0,,0,3,0
25441,30.0,1,1,1,0,464.0,1,0,0,23,8,62.0,4.0,,0,3,0
13295,43.0,1,1,1,0,86.0,1,0,0,16,8,26.0,1.0,,0,3,0
3180,60.0,5,1,2,0,2508.0,0,0,0,29,5,176.0,4.0,,0,3,0
17233,76.0,5,1,1,0,2656.0,0,0,0,10,9,261.0,5.0,,0,3,1
14547,52.0,1,0,0,0,217.0,1,0,0,4,6,86.0,5.0,,0,3,0
14770,33.0,9,1,1,0,657.0,0,0,0,22,6,118.0,1.0,,0,3,0
412,33.0,4,0,2,0,293.0,1,0,0,17,5,553.0,5.0,,0,3,1
